Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,27.847500,27.860001,26.157499,26.937500,24.460564,893572400
2015-01-08,27.307501,28.312500,27.125000,27.450001,24.925943,1115053200
2015-01-15,27.500000,27.764999,26.299999,27.387501,24.869184,948012400
2015-01-22,27.565001,29.530001,27.257500,28.827499,26.176777,1591688000
2015-01-29,29.080000,30.127501,28.889999,29.889999,27.141579,1411945600
2015-02-05,30.004999,31.230000,29.607500,31.219999,28.349285,1041651600
2015-02-12,31.514999,32.220001,31.392500,32.180000,29.336334,947163200
2015-02-19,32.119999,33.400002,32.012501,32.197498,29.352283,1204898800
2015-02-26,32.197498,32.717499,31.652500,32.134998,29.295307,1083526400
2015-03-05,32.145000,32.392502,30.527500,30.559999,27.859491,1422733200
2015-03-12,30.577499,32.290001,30.407499,32.117500,29.279362,1009433200
2015-03-19,32.187500,32.312500,30.844999,30.844999,28.119303,946847200
2015-03-26,30.690001,31.622499,30.650000,31.062500,28.317581,867723200
2015-04-02,31.257500,32.029999,31.047501,31.400000,28.625265,567022400
2015-04-09,31.462500,32.142502,31.165001,31.695000,28.894184,654128400
2015-04-16,31.570000,32.217499,31.115000,32.154999,29.313540,789879600
2015-04-23,32.075001,33.634998,32.035000,32.160000,29.318098,1478244400
2015-04-30,32.160000,32.642502,30.840000,31.252501,28.490789,1256434800
2015-05-07,31.192499,31.905001,31.004999,31.502501,28.718702,897525200
2015-05-14,31.852501,32.744999,31.790001,32.514999,29.765543,861530000
2015-05-21,32.517502,33.242500,32.279999,33.009998,30.218685,807428800
2015-05-28,32.965000,32.987499,32.330002,32.529999,29.779270,713526800
2015-06-04,32.395000,32.645000,31.405001,32.220001,29.495487,887657600
2015-06-11,32.294998,32.544998,31.427500,31.825001,29.133894,722712800
2015-06-18,31.807501,32.450001,31.600000,32.027500,29.319269,838852800
2015-06-25,32.215000,32.299999,31.120001,31.650000,28.973688,799103200
2015-07-02,31.607500,31.672501,30.635000,30.642500,28.051380,651919200
2015-07-09,30.962500,31.787500,29.805000,31.705000,29.024040,987229200
2015-07-16,31.934999,33.242500,30.497499,31.305000,28.657864,1333977200
2015-07-23,31.549999,31.772499,30.530001,30.747499,28.147497,832988400
2015-07-30,30.580000,30.660000,28.025000,28.850000,26.410452,1479762000
2015-08-06,28.992500,29.997499,27.407499,28.809999,26.373837,1379301200
2015-08-13,29.010000,29.412500,28.502501,28.752501,26.440342,860788800
2015-08-20,28.520000,28.587500,23.000000,27.422501,25.217297,2237438400
2015-08-27,28.057501,28.632500,26.840000,28.084999,25.826521,1330978000
2015-09-03,28.122499,28.504999,27.127501,27.537500,25.323050,972338400
2015-09-10,27.567499,29.222500,27.475000,29.102501,26.762197,1006745600
2015-09-17,28.915001,29.122499,27.967501,28.580000,26.281713,1098891200
2015-09-24,28.312500,29.172501,26.965000,27.575001,25.357531,1193275200
2015-10-01,27.267500,27.942499,26.827499,27.695000,25.467878,1075904000
2015-10-08,27.547501,28.187500,27.052500,27.552500,25.336842,890898400
2015-10-15,27.732500,28.895000,27.527500,28.440001,26.152971,789713200
2015-10-22,28.582500,29.825001,28.497499,29.817499,27.419695,1291162400
2015-10-29,29.674999,30.955000,29.567499,30.500000,28.047316,892804000
2015-11-05,30.462500,30.672501,28.802500,29.027500,26.693228,843249200
2015-11-12,29.065001,29.372499,27.750000,29.322500,27.079929,762945200
2015-11-19,29.410000,29.980000,29.190001,29.507500,27.250780,697027600
2015-11-26,29.572500,29.852501,29.020000,29.070000,26.846737,481862800
2015-12-03,29.137501,29.965000,28.555000,28.905001,26.694361,848406400
2015-12-10,29.010000,29.235001,27.200001,27.834999,25.706190,999916800
2015-12-17,28.004999,28.062500,26.392500,27.152500,25.075888,1017054000
2015-12-24,27.250000,27.357500,26.545000,26.830000,24.778051,385678400
2015-12-31,26.752501,26.757500,24.967501,25.174999,23.249626,931240400
2016-01-07,24.670000,25.297501,24.107500,24.347500,22.485413,1252902400
2016-01-14,24.490000,25.120001,23.355000,24.197500,22.346884,1073704400
2016-01-21,24.264999,25.382500,23.334999,23.355000,21.568815,1512812800
2016-01-28,23.447500,24.334999,23.097500,24.087500,22.245296,977441200
2016-02-04,23.965000,24.332500,23.260000,23.567499,21.765068,934344000
2016-02-11,23.447500,24.552500,23.147499,24.530001,22.776880,737388800
2016-02-18,24.709999,24.722500,23.330000,24.025000,22.307974,707497200
2016-02-25,24.012501,25.222500,23.812500,25.187500,23.387390,701467200
2016-03-03,25.145000,25.937500,25.067499,25.280001,23.473282,710413200
2016-03-10,25.352501,26.577499,25.037500,26.492500,24.599123,657476400
2016-03-17,26.379999,26.912500,26.240000,26.532499,24.636267,689106000
2016-03-24,26.367500,27.605000,26.219999,27.389999,25.432480,489342400
2016-03-31,27.430000,28.047501,27.049999,27.740000,25.757463,568405600
2016-04-07,27.487499,28.084999,27.030001,28.010000,26.008171,581122800
2016-04-14,27.905001,28.097500,26.514999,26.782499,24.868402,784921200
2016-04-21,26.732500,26.732500,23.920000,24.455000,22.707241,1055542000
2016-04-28,24.402500,24.469999,23.100000,23.547501,21.864603,1187164400
2016-05-05,23.500000,23.517500,22.962500,23.127501,21.474611,699730800
2016-05-12,23.180000,23.802500,22.367500,23.639999,22.084131,1083786400
2016-05-19,23.660000,24.934999,23.392500,24.905001,23.265877,695182800
2016-05-26,24.920000,25.182501,24.582500,24.615000,22.994963,656611600
2016-06-02,24.400000,25.472500,24.157499,24.735001,23.107069,540986400
2016-06-09,24.625000,24.997499,24.187500,24.285000,22.686680,630847600
2016-06-16,24.112499,24.437500,23.670000,23.887501,22.315344,766049600
2016-06-23,23.985001,24.072500,22.875000,23.600000,22.046766,920068400
2016-06-30,23.610001,24.117500,23.575001,23.882500,22.310671,482068800
2016-07-07,23.924999,24.424999,23.905001,24.217501,22.623623,511625200
2016-07-14,24.347500,25.115000,24.330000,24.990000,23.345284,622423200
2016-07-21,24.957500,26.087500,24.105000,25.737499,24.043583,999932800
2016-07-28,25.707500,26.537500,25.705000,26.447500,24.706854,679162400
2016-08-04,26.395000,27.235001,26.320000,27.000000,25.222998,585292000
2016-08-11,27.129999,27.557501,26.945000,27.305000,25.646103,524654000
2016-08-18,27.307501,27.422501,26.920000,27.007500,25.366678,472423200
2016-08-25,26.847500,26.987499,26.375000,26.525000,24.913488,529396400
2016-09-01,26.535000,27.190001,26.405001,27.090000,25.444162,490994800
2016-09-08,26.812500,28.257500,25.632500,27.942499,26.244867,1271666800
2016-09-15,28.465000,29.045000,28.110001,28.387501,26.662834,1149644000
2016-09-22,28.587500,28.735001,27.887501,28.487499,26.756763,670692400
2016-09-29,28.290001,28.577499,27.950001,28.262501,26.545429,580631200
2016-10-06,28.424999,29.672501,28.282499,29.334999,27.552769,764006000
2016-10-13,29.197500,29.552500,28.450001,29.280001,27.501110,556230400
2016-10-20,29.215000,29.590000,28.327499,28.897499,27.141850,740481600
2016-10-27,28.847500,28.965000,27.632500,27.897499,26.202606,684002400
2016-11-03,27.745001,27.930000,27.012501,27.719999,26.035885,695040800
2016-11-10,27.772499,27.772499,26.020000,27.497499,25.959503,934235600
2016-11-17,27.452499,28.105000,27.207500,27.807501,26.252167,554869600
2016-11-24,27.782499,28.117500,27.517500,27.629999,26.084597,413444000
2016-12-01,27.592501,27.797501,27.062500,27.757500,26.204964,616534400
2016-12-08,27.715000,29.049999,27.650000,28.797501,27.186798,662443600
2016-12-15,28.844999,29.375000,28.807501,29.264999,27.628145,655452800
2016-12-22,29.087500,29.504999,28.897499,29.190001,27.557346,318152800
2016-12-29,29.112499,29.299999,28.690001,29.004999,27.382690,382103200
2017-01-05,28.980000,29.982500,28.952499,29.937500,28.263029,558232400
2017-01-12,29.725000,30.125000,29.552500,29.997499,28.319677,445403600
2017-01-19,29.850000,30.525000,29.842501,30.469999,28.765747,543336000
2017-01-26,30.417500,32.622501,30.155001,32.187500,30.387186,953856000
2017-02-02,31.995001,33.055000,31.945000,33.009998,31.163679,585006000
