Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,95.129997,95.610001,94.300003,95.320000,91.972237,2821100
2019-01-02,93.910004,96.269997,93.769997,95.680000,92.319603,4175400
2019-01-03,94.790001,95.180000,93.230003,93.430000,90.517570,4776600
2019-01-04,95.370003,98.349998,94.900002,97.639999,94.596352,4637200
2019-01-07,97.769997,98.919998,97.019997,98.169998,95.109818,3289000
2019-01-08,98.690002,99.519997,97.519997,98.650002,95.574867,3227200
2019-01-09,98.739998,99.589996,98.150002,98.830002,95.749245,2954500
2019-01-10,98.449997,98.669998,97.820000,98.260002,95.197029,3523800
2019-01-11,97.879997,98.680000,97.360001,98.550003,95.477974,2770600
2019-01-14,97.760002,99.029999,97.620003,98.440002,95.371407,4120500
2019-01-15,98.610001,98.870003,97.739998,97.989998,94.935440,5795100
2019-01-16,98.940002,99.959999,98.510002,99.410004,96.311172,4701900
2019-01-17,99.410004,100.239998,98.570000,99.489998,96.388680,5693300
2019-01-18,98.190002,100.809998,96.370003,100.480003,97.347824,9872500
2019-01-22,99.849998,100.680000,98.959999,99.830002,96.718086,4699800
2019-01-23,99.930000,100.190002,98.459999,99.709999,96.601822,3585100
2019-01-24,99.690002,100.540001,99.379997,99.720001,96.611511,3415900
2019-01-25,100.430000,101.589996,100.089996,100.769997,97.628769,3488300
2019-01-28,100.050003,100.410004,99.480003,100.379997,97.250931,3185400
2019-01-29,100.940002,101.419998,100.540001,100.959999,97.812851,2827400
2019-01-30,101.089996,102.849998,100.540001,102.669998,99.469536,3501500
2019-01-31,102.000000,102.900002,101.699997,102.699997,99.498604,4302100
2019-02-01,102.410004,103.529999,102.410004,103.059998,99.847382,4727800
2019-02-04,103.040001,103.459999,102.519997,103.419998,100.196175,2578300
2019-02-05,103.629997,104.180000,103.410004,103.900002,100.661209,2231200
2019-02-06,103.849998,105.080002,103.430000,104.959999,101.688164,3595700
2019-02-07,104.059998,104.779999,103.610001,104.389999,101.135933,3857300
2019-02-08,103.730003,104.519997,103.430000,104.519997,101.261879,2581900
2019-02-11,104.949997,105.559998,104.809998,105.410004,102.124146,2653800
2019-02-12,106.269997,107.430000,106.260002,107.000000,103.664574,3238600
2019-02-13,107.550003,108.470001,107.099998,107.559998,104.207115,3182100
2019-02-14,107.000000,107.360001,106.239998,106.620003,103.296417,2385900
2019-02-15,107.330002,108.089996,107.120003,107.379997,104.032738,3882300
2019-02-19,107.050003,107.230003,106.459999,106.500000,103.180176,3692800
2019-02-20,106.570000,107.180000,106.500000,106.779999,103.451439,3840800
2019-02-21,106.739998,106.949997,106.320000,106.610001,103.286728,2566500
2019-02-22,106.980003,107.550003,106.860001,107.440002,104.090858,2256400
2019-02-25,108.199997,108.849998,106.760002,106.930000,103.596756,3333500
2019-02-26,106.669998,107.620003,106.419998,106.940002,103.606453,2548100
2019-02-27,106.860001,107.629997,106.599998,107.419998,104.071480,2393500
2019-02-28,107.220001,108.449997,107.080002,107.739998,104.381508,3295800
2019-03-01,108.400002,109.650002,108.199997,108.900002,105.505356,2682000
2019-03-04,109.559998,110.089996,107.760002,109.000000,105.602226,4053200
2019-03-05,109.029999,109.320000,108.320000,108.849998,105.456894,2685700
2019-03-06,108.930000,109.449997,108.849998,108.980003,105.582855,2616000
2019-03-07,108.559998,108.629997,107.400002,107.860001,104.497757,3048200
2019-03-08,106.790001,108.070000,106.680000,107.980003,104.614029,2077100
2019-03-11,109.010002,109.790001,108.709999,109.559998,106.144768,3289200
2019-03-12,109.739998,111.279999,109.739998,110.430000,106.987656,3917500
2019-03-13,110.180000,112.260002,110.089996,112.139999,108.644348,4234100
2019-03-14,112.389999,112.779999,111.879997,112.349998,108.847801,3538200
2019-03-15,112.709999,113.769997,112.529999,113.519997,109.981331,4780400
2019-03-18,113.750000,114.250000,113.160004,113.550003,110.010391,2918000
2019-03-19,114.220001,114.220001,112.360001,112.669998,109.157822,3331300
2019-03-20,112.260002,112.459999,110.599998,110.769997,107.317055,3309300
2019-03-21,109.959999,112.180000,109.809998,111.820000,108.334320,3111000
2019-03-22,111.290001,111.320000,108.989998,109.459999,106.047882,3737400
2019-03-25,109.279999,110.070000,108.190002,109.040001,105.640984,3596200
2019-03-26,109.989998,110.400002,109.050003,109.500000,106.086639,2844500
2019-03-27,109.680000,110.000000,108.330002,108.980003,105.582855,3346600
2019-03-28,109.419998,109.879997,108.489998,109.160004,105.757256,2693300
2019-03-29,110.199997,110.389999,109.139999,109.300003,105.892883,4891000
2019-04-01,110.290001,112.040001,110.080002,111.699997,108.218056,5125100
2019-04-02,111.209999,111.459999,110.370003,111.000000,107.539871,3568900
2019-04-03,111.820000,112.000000,110.349998,110.559998,107.113602,3719700
2019-04-04,110.330002,110.489998,109.500000,110.120003,107.064987,3619600
2019-04-05,110.480003,111.209999,110.440002,110.959999,107.881683,4553700
2019-04-08,110.620003,110.849998,109.919998,110.699997,107.628899,4776600
2019-04-09,110.010002,110.309998,109.489998,109.849998,106.802483,2869300
2019-04-10,110.480003,110.480003,109.519997,110.160004,107.103882,2650100
2019-04-11,110.510002,110.830002,109.419998,109.849998,106.802483,2320600
2019-04-12,110.820000,111.550003,110.449997,110.910004,107.833084,2316900
2019-04-15,110.919998,110.970001,110.250000,110.529999,107.463615,2285000
2019-04-16,111.089996,112.029999,110.940002,111.879997,108.776161,2523400
2019-04-17,112.309998,112.500000,111.250000,111.760002,108.659492,3799900
2019-04-18,112.250000,114.139999,111.320000,113.669998,110.516510,6186800
2019-04-22,112.599998,113.400002,112.230003,112.330002,109.213676,3174400
2019-04-23,112.190002,114.040001,111.900002,113.970001,110.808189,3342800
2019-04-24,113.760002,114.360001,113.419998,114.019997,110.856781,2318400
2019-04-25,115.230003,116.500000,114.750000,115.879997,112.665184,4595200
2019-04-26,116.589996,117.730003,116.099998,117.599998,114.337479,2990600
2019-04-29,117.239998,117.699997,116.550003,116.760002,113.520775,3096200
2019-04-30,117.050003,117.349998,116.099998,117.230003,113.977745,2387900
2019-05-01,117.470001,117.989998,116.930000,117.019997,113.773552,2450500
2019-05-02,117.000000,117.650002,116.680000,117.250000,113.997177,2538700
2019-05-03,117.910004,119.660004,117.629997,119.349998,116.038940,2856200
2019-05-06,117.260002,119.610001,117.050003,119.339996,116.029198,2924500
2019-05-07,118.370003,119.410004,117.650002,118.220001,114.940269,6282300
2019-05-08,117.830002,118.110001,116.820000,117.489998,114.230522,4037500
2019-05-09,116.150002,117.290001,115.379997,117.260002,114.006905,3219600
2019-05-10,116.860001,118.930000,116.209999,118.459999,115.173615,2435100
2019-05-13,116.419998,116.889999,115.620003,115.900002,112.684631,3710600
2019-05-14,115.980003,117.730003,115.769997,117.010002,113.763855,2460700
2019-05-15,116.180000,118.230003,115.900002,117.660004,114.395821,2711400
2019-05-16,117.769997,120.349998,117.769997,119.839996,116.515335,4143500
2019-05-17,118.599998,119.589996,118.510002,119.070000,115.766701,5273600
2019-05-20,118.830002,120.320000,118.620003,119.839996,116.515335,2765600
2019-05-21,120.470001,120.680000,119.339996,120.550003,117.205643,3369100
2019-05-22,120.360001,120.879997,119.440002,120.010002,116.680618,2941100
2019-05-23,119.269997,119.400002,117.849998,118.430000,115.144447,3290200
2019-05-24,119.209999,119.629997,118.330002,119.510002,116.194489,2240100
2019-05-28,119.360001,120.120003,118.169998,118.169998,114.891670,2550300
2019-05-29,117.709999,117.809998,116.040001,117.010002,113.763855,2553900
2019-05-30,117.209999,117.309998,116.110001,116.739998,113.501328,1882400
2019-05-31,115.769997,115.980003,114.559998,114.709999,111.527649,2969100
2019-06-03,114.559998,115.930000,113.889999,114.620003,111.440155,2968500
2019-06-04,115.709999,117.000000,115.230003,116.849998,113.608269,3043200
2019-06-05,117.180000,118.239998,117.010002,118.120003,114.843056,2568100
2019-06-06,118.419998,119.639999,118.150002,119.430000,116.116714,2209300
2019-06-07,119.870003,121.360001,119.559998,121.110001,117.750107,2481800
2019-06-10,121.599998,123.449997,121.410004,122.660004,119.257103,3453700
2019-06-11,123.550003,124.739998,123.080002,123.230003,119.811302,3303800
2019-06-12,122.919998,123.190002,121.589996,122.029999,118.644569,2685700
2019-06-13,122.089996,122.699997,121.419998,121.860001,118.479286,2343900
2019-06-14,122.010002,122.610001,120.940002,122.000000,118.615402,2483800
2019-06-17,122.239998,122.239998,121.300003,121.449997,118.080658,2094200
2019-06-18,122.809998,125.050003,122.209999,123.430000,120.005737,2729200
2019-06-19,124.239998,124.919998,123.680000,124.680000,121.221062,2951700
2019-06-20,125.690002,126.400002,124.470001,124.919998,121.454399,3303200
2019-06-21,125.199997,126.309998,124.559998,124.730003,121.269676,5703800
2019-06-24,124.980003,125.419998,124.010002,124.139999,120.696037,2680900
2019-06-25,124.269997,124.570000,123.040001,123.160004,119.743225,2387800
2019-06-26,123.180000,124.000000,123.029999,123.589996,120.161301,1902500
2019-06-27,123.690002,124.410004,123.559998,123.940002,120.501587,1504300
2019-06-28,124.290001,124.550003,123.199997,123.440002,120.015465,4338900
