Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,40.996204,41.489563,40.891842,41.413662,38.363907,20534000
2019-01-02,40.910816,41.271347,40.455406,41.034157,38.012341,26430300
2019-01-03,41.024670,41.119545,39.800758,39.886147,36.948875,28503500
2019-01-04,40.265656,41.129032,40.094875,40.796963,37.792622,27145300
2019-01-07,40.863377,41.385201,40.664135,41.015179,37.994766,20995500
2019-01-08,41.328274,41.461102,40.939278,41.204933,38.170547,19677200
2019-01-09,41.233398,41.432636,40.986717,41.119545,38.091450,20107600
2019-01-10,41.005692,41.015179,39.876659,40.142315,37.186176,39731200
2019-01-11,40.161289,40.683113,39.990513,40.683113,37.687157,21064500
2019-01-14,40.370018,40.445919,40.009487,40.199242,37.238914,17605200
2019-01-15,40.417458,41.024670,40.256168,40.540798,37.555321,25865400
2019-01-16,40.407970,40.597721,39.876659,39.952560,37.010403,30169400
2019-01-17,39.800758,40.474384,39.686909,40.294117,37.326805,24177300
2019-01-18,40.664135,40.683113,40.094875,40.351044,37.379543,38618500
2019-01-22,40.237190,40.502846,39.781784,40.104362,37.151024,29444100
2019-01-23,39.838711,40.037952,39.421253,40.000000,37.054348,24462800
2019-01-24,39.639469,39.648956,38.538898,38.851994,35.990875,34394000
2019-01-25,38.994308,39.136623,38.434536,38.557877,35.718422,35862500
2019-01-28,38.425049,38.453510,37.457306,37.504745,34.742844,39329700
2019-01-29,37.476280,38.757114,37.447819,38.681213,35.832676,51376800
2019-01-30,38.681213,39.611004,38.643265,39.449715,36.544582,36067900
2019-01-31,39.259960,40.436432,39.231499,40.275143,37.635078,40927500
2019-02-01,40.673626,40.910816,40.370018,40.683113,38.016304,27239700
2019-02-04,40.645161,40.645161,39.810246,40.265656,37.626209,19426500
2019-02-05,40.256168,40.540798,39.905125,39.952560,37.333645,21127600
2019-02-06,39.772297,40.199242,39.648956,40.161289,37.528687,16450400
2019-02-07,39.952560,39.990513,39.098671,39.563568,36.970146,24248000
2019-02-08,39.402279,40.075901,39.364326,40.066414,37.440025,27500100
2019-02-11,40.113853,40.142315,39.383301,39.544594,36.952415,27102100
2019-02-12,39.573055,39.857685,39.269451,39.724857,37.120857,30540200
2019-02-13,39.772297,39.905125,39.269451,39.563568,36.970146,24757200
2019-02-14,39.563568,39.962048,39.487667,39.819733,37.209522,19864900
2019-02-15,40.208729,40.332069,39.924099,40.227703,37.590740,19169000
2019-02-19,40.075901,40.664135,40.028461,40.417458,37.768059,24433000
2019-02-20,40.351044,40.379505,39.781784,40.037952,37.413437,27354900
2019-02-21,39.867172,40.151802,39.715370,39.981026,37.360233,19611900
2019-02-22,40.132828,40.920303,40.056927,40.759014,38.087234,24779300
