Time,Open,High,Low,Close,Change,%Chg,Volume
6/28/2019,129.06,130.5924,128.15,130.2,1.23,0.95%,5435800
6/27/2019,128.21,129.19,127.76,128.97,1.21,0.95%,2013500
6/26/2019,129.04,129.645,127.72,127.76,-1.26,-0.98%,2922500
6/25/2019,130.19,130.86,128.7,129.02,-1.16,-0.89%,2794200
6/24/2019,130.12,130.99,129.5,130.18,1.43,1.11%,3677200
6/21/2019,129.81,130.86,128.58,128.75,-1.28,-0.98%,5719100
6/20/2019,128.3,130.22,127.87,130.03,3.27,2.58%,4346700
6/19/2019,127.1,127.39,126.32,126.76,0.14,0.11%,3255000
6/18/2019,125.06,126.98,125.06,126.62,2.39,1.92%,4536200
6/17/2019,125.72,125.965,123.105,124.23,-1.07,-0.85%,3346600
6/14/2019,126.11,126.5,124.92,125.3,0.49,0.39%,3066800
6/13/2019,124.74,124.965,122.92,124.81,0.74,0.60%,4604700
6/12/2019,124.05,125.41,123.61,124.07,1.13,0.92%,9975400
6/11/2019,128.22,128.29,122.1791,122.94,-5.07,-3.96%,10972300
6/10/2019,135.5,135.73,127.98,128.01,-4.14,-3.13%,13783300
6/7/2019,132.11,132.97,131.84,132.15,0.48,0.36%,1844400
6/6/2019,131.46,132.17,130.48,131.67,0.31,0.24%,2012000
6/5/2019,130.49,131.4,129.55,131.36,1.99,1.54%,2372900
6/4/2019,128.31,129.69,127.52,129.37,2.51,1.98%,2395100
6/3/2019,126.45,128.21,125.9401,126.86,0.56,0.44%,2710900
5/31/2019,127.27,127.41,125.53,126.3,-2.1,-1.64%,3553800
5/30/2019,129.54,130.33,128.025,128.4,-1.07,-0.83%,2748600
5/29/2019,129.19,129.79,128.31,129.47,-0.45,-0.35%,2666100
5/28/2019,131.63,133.08,129.92,129.92,-1.48,-1.13%,3914400
5/24/2019,130.64,131.88,130.01,131.4,0.95,0.73%,3074600
5/23/2019,132.52,133.82,129.39,130.45,-4.96,-3.66%,5532300
5/22/2019,135.36,136.32,134.94,135.41,-0.62,-0.46%,1942700
5/21/2019,134.9,136.17,134.265,136.03,2.55,1.91%,2190800
5/20/2019,133.17,133.76,132.63,133.48,-0.27,-0.20%,1945500
5/17/2019,134.13,135.4617,133.55,133.75,-1.5,-1.11%,1605500
5/16/2019,134.04,136.0714,133.44,135.25,1.27,0.95%,2809300
5/15/2019,132.8,134.82,131.66,133.98,0,0.00%,2430100
5/14/2019,132.01,135.01,132.01,133.98,2.02,1.53%,2709200
5/13/2019,134.03,134.67,130.39,131.96,-5.21,-3.80%,4119200
5/10/2019,135.23,137.34,133.57,137.17,0.31,0.23%,2652500
5/9/2019,135.46,137.1275,134.02,136.86,-0.21,-0.15%,2559200
5/8/2019,135.5,138.15,135.34,137.07,1.63,1.20%,2396200
5/7/2019,138.34,138.67,134.68,135.44,-4.76,-3.40%,4905200
5/6/2019,138.79,140.67,137.9,140.2,-1.43,-1.01%,2376400
5/3/2019,141.05,141.69,139.96,141.63,1.83,1.31%,2840300
5/2/2019,140.77,141.46,138.79,139.8,-1.78,-1.26%,2756400
5/1/2019,143,144.4,141.52,141.58,-1.03,-0.72%,2194900
4/30/2019,142.44,142.92,141.63,142.61,0.49,0.34%,3293000
4/29/2019,141,142.51,140.8629,142.12,1.34,0.95%,3409300
4/26/2019,140,140.83,139.58,140.78,1.05,0.75%,2059800
4/25/2019,138.74,140.25,138.03,139.73,0.14,0.10%,2336400
4/24/2019,139.67,140.17,137.93,139.59,-0.43,-0.31%,2734300
4/23/2019,139.89,142.36,138.88,140.02,3.11,2.27%,5683200
4/22/2019,136.35,137.4668,135.69,136.91,-0.09,-0.07%,2954200
4/18/2019,136.01,137.75,136.01,137,1.21,0.89%,2498700
4/17/2019,135.59,136.3,134.73,135.79,0.45,0.33%,2784900
4/16/2019,134.86,135.36,134.41,135.34,0.79,0.59%,1999100
4/15/2019,135,135.26,134.07,134.55,-0.75,-0.55%,1874900
4/12/2019,133.82,135.32,133.65,135.3,2.48,1.87%,2865500
4/11/2019,131.77,133,131.48,132.82,1.16,0.88%,1741900
4/10/2019,132.29,132.33,130.26,131.66,-0.59,-0.45%,2721600
4/9/2019,132.65,132.91,131.2,132.25,-1.31,-0.98%,2089800
4/8/2019,132.33,133.63,131.19,133.56,-0.16,-0.12%,2717700
4/5/2019,133.16,133.8,132.56,133.72,1.02,0.77%,2500700
4/4/2019,131.5,133.27,130.85,132.7,1.39,1.06%,2231700
4/3/2019,132.61,132.7224,130.61,131.31,-0.59,-0.45%,2840100
4/2/2019,133.07,133.37,131.55,131.9,-1.29,-0.97%,2905500
4/1/2019,129.99,133.43,129.99,133.19,4.3,3.34%,5300800
3/29/2019,128.26,129.09,127.48,128.89,1.62,1.27%,3045600
3/28/2019,126.71,127.4,126.19,127.27,0.97,0.77%,1872100
3/27/2019,126.12,127.14,125.64,126.3,0.16,0.13%,2728700
3/26/2019,126.18,126.95,125.06,126.14,0.74,0.59%,3204200
3/25/2019,124.96,125.83,124.59,125.4,0.25,0.20%,2270900
3/22/2019,126,126.33,123.45,125.15,-1.73,-1.36%,3872100
3/21/2019,124.55,127.18,124.33,126.88,1.57,1.25%,2597800
3/20/2019,126.44,126.5,124.53,125.31,-1.2,-0.95%,2945800
3/19/2019,127.62,128.17,125.91,126.51,-0.39,-0.31%,2960400
3/18/2019,126.11,127,125.53,126.9,0.98,0.78%,3889800
3/15/2019,127.17,127.43,125.9,125.92,-0.97,-0.76%,9689600
3/14/2019,126.64,126.94,125.71,126.89,0.25,0.20%,3925100
3/13/2019,124.97,127.2755,124.97,126.64,1.97,1.58%,4854500
3/12/2019,125.71,126.91,124.52,124.67,-1.34,-1.06%,3844300
3/11/2019,121.58,126.19,121.48,126.01,1.99,1.60%,4655900
3/8/2019,123.85,124.14,122.29,124.02,-0.44,-0.35%,3091600
3/7/2019,125.01,125.09,122.92,124.46,-0.93,-0.74%,4163800
3/6/2019,126.18,126.86,125.37,125.39,-0.55,-0.44%,3519500
3/5/2019,125.64,126.84,125.64,125.94,0.2,0.16%,3235800
3/4/2019,126.29,127.4,125.1,125.74,-0.03,-0.02%,3477700
3/1/2019,126.98,127.35,125.24,125.77,0.1,0.08%,3822000
2/28/2019,126.69,127.33,125.57,125.67,-1.23,-0.97%,4416400
2/27/2019,127.08,127.35,126.1,126.9,-0.29,-0.23%,2497900
2/26/2019,127.78,128.45,126.77,127.19,-1.08,-0.84%,3397100
2/25/2019,128.7,129.12,128.16,128.27,0.5,0.39%,2672100
2/22/2019,128.05,128.35,126.8,127.77,1.45,1.15%,3158000
2/21/2019,128.15,128.59,125.83,126.32,-2.11,-1.64%,3259800
