State,Date,New Cases,7-Day Moving Avg,Historic Cases
United States,Sep 17 2021,151488,140234,1030
United States,Sep 16 2021,159675,142888,1313
United States,Sep 15 2021,162408,147154,1604
United States,Sep 14 2021,154535,149678,1430
United States,Sep 13 2021,111822,143054,164
United States,Sep 12 2021,104075,141081,79
United States,Sep 11 2021,137636,142145,527
United States,Sep 10 2021,170071,142908,946
United States,Sep  9 2021,189533,144753,1046
United States,Sep  8 2021,180075,143608,1826
United States,Sep  7 2021,108169,145116,1075
United States,Sep  6 2021,98009,155337,823
United States,Sep  5 2021,111526,159257,277
United States,Sep  4 2021,142974,159474,417
United States,Sep  3 2021,182987,160058,884
United States,Sep  2 2021,181522,160007,1214
United States,Sep  1 2021,190625,160712,1159
United States,Aug 31 2021,179718,160599,1102
United States,Aug 30 2021,125453,159839,406
United States,Aug 29 2021,113039,159090,179
United States,Aug 28 2021,147066,159952,361
United States,Aug 27 2021,182626,159483,783
United States,Aug 26 2021,186459,157223,585
United States,Aug 25 2021,189833,154611,637
United States,Aug 24 2021,174401,152762,667
United States,Aug 23 2021,120212,150649,341
United States,Aug 22 2021,119070,149493,70
United States,Aug 21 2021,143785,147935,376
United States,Aug 20 2021,166806,147116,2281
United States,Aug 19 2021,168174,144622,670
United States,Aug 18 2021,176888,142999,1280
United States,Aug 17 2021,159610,139731,536
United States,Aug 16 2021,112119,137339,251
United States,Aug 15 2021,108164,135078,74
United States,Aug 14 2021,138053,133064,167
United States,Aug 13 2021,149352,130735,607
United States,Aug 12 2021,156809,127425,631
United States,Aug 11 2021,154014,123817,549
United States,Aug 10 2021,142862,120406,487
United States,Aug  9 2021,96292,116739,385
United States,Aug  8 2021,94072,114627,42
United States,Aug  7 2021,121745,111836,99
United States,Aug  6 2021,126183,107723,8113
United States,Aug  5 2021,131557,105100,665
United States,Aug  4 2021,130131,100644,640
United States,Aug  3 2021,117197,95758,748
United States,Aug  2 2021,81504,91505,131
United States,Aug  1 2021,74539,88178,44
United States,Jul 31 2021,92954,84952,164
United States,Jul 30 2021,107819,80445,691
United States,Jul 29 2021,100369,75043,391
United States,Jul 28 2021,95928,70864,436
United States,Jul 27 2021,87424,66523,424
United States,Jul 26 2021,58219,61629,54
